label,trades,win_rate,pf_r,pnl_pct,profit_r,points,pnl_usd,gross_win_usd,gross_loss_usd,avg_win_pts,avg_loss_pts,payoff
"tp=1.10 sl=1.10 min_add=0 max=1 cutoff=0m",148,69.59,1.15,6.69,6.83,86.41,864.10,7818.25,6954.06,7.5905,15.4535,0.4912
"tp=1.10 sl=1.10 min_add=25 max=1 cutoff=0m",148,69.59,1.15,6.69,6.83,86.41,864.10,7818.25,6954.06,7.5905,15.4535,0.4912
"tp=1.10 sl=1.10 min_add=0 max=0.90 cutoff=0m",132,69.70,1.16,6.09,6.23,66.89,668.90,6741.62,6072.69,7.3279,15.1817,0.4827
"tp=1.10 sl=1.10 min_add=25 max=0.90 cutoff=0m",132,69.70,1.16,6.09,6.23,66.89,668.90,6741.62,6072.69,7.3279,15.1817,0.4827
"tp=1.10 sl=1.10 min_add=0 max=1.10 cutoff=0m",152,69.08,1.12,5.62,5.83,60.77,607.70,7933.06,7325.31,7.5553,15.5858,0.4848
"tp=1.10 sl=1.10 min_add=25 max=1.10 cutoff=0m",152,69.08,1.12,5.62,5.83,60.77,607.70,7933.06,7325.31,7.5553,15.5858,0.4848
"tp=1.10 sl=1.10 min_add=-25 max=1 cutoff=0m",149,69.13,1.13,5.62,5.83,61.66,616.60,7818.25,7201.56,7.5905,15.6556,0.4848
"tp=1.10 sl=1.10 min_add=0 max=0.90 cutoff=30m",140,69.29,1.14,5.65,5.83,62.90,629.00,7130.75,6501.69,7.3513,15.1202,0.4862
"tp=1.10 sl=1.10 min_add=25 max=0.90 cutoff=30m",140,69.29,1.14,5.65,5.83,62.90,629.00,7130.75,6501.69,7.3513,15.1202,0.4862
"tp=1.10 sl=1.10 min_add=-25 max=0.90 cutoff=0m",133,69.17,1.13,5.03,5.23,42.14,421.40,6741.62,6320.19,7.3279,15.4151,0.4754
"tp=1.10 sl=1.10 min_add=-25 max=1.10 cutoff=0m",153,68.63,1.10,4.56,4.83,36.02,360.20,7933.06,7572.81,7.5553,15.7767,0.4789
"tp=1.10 sl=1.10 min_add=-25 max=0.90 cutoff=30m",141,68.79,1.11,4.59,4.83,38.15,381.50,7130.75,6749.19,7.3513,15.3391,0.4793
