rank,label,slippage,trades,win_rate_pct,profit_r,pf_r,points_per_week,net_usd_per_week,net_usd_1mic,max_dd_usd_1mic
1,lb0h pair_mid tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,35,31.4286,13.08,1.6540,6.1665,11.6199,707.22,459.06
2,lb0h pair_mid tp200pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,35,31.4286,12.44,1.6220,6.1624,11.6117,706.72,445.56
3,lb1h pair_mid tp200pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=1h],2,37,32.4324,12.37,1.589048,5.9693,11.1848,680.74,485.30
4,lb2h pair_mid tp200pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=2h],2,37,32.4324,12.37,1.589048,5.9693,11.1848,680.74,485.30
5,lb3h pair_mid tp200pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=3h],2,37,32.4324,12.37,1.589048,5.9693,11.1848,680.74,485.30
6,lb1h pair_mid tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=1h],3,37,32.4324,12.99,1.618571,5.9652,11.1766,680.24,499.80
7,lb2h pair_mid tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=2h],3,37,32.4324,12.99,1.618571,5.9652,11.1766,680.24,499.80
8,lb3h pair_mid tp200pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=3h],3,37,32.4324,12.99,1.618571,5.9652,11.1766,680.24,499.80
9,lb0h pair_mid tp200pts trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=0h],1,35,28.5714,11.81,1.5905,5.8522,10.9912,668.96,432.06
10,lb1h pair_mid tp200pts trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=1h],1,37,29.7297,11.78,1.560952,5.6673,10.5808,643.98,470.80
11,lb2h pair_mid tp200pts trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=2h],1,37,29.7297,11.78,1.560952,5.6673,10.5808,643.98,470.80
12,lb3h pair_mid tp200pts trail_prog slSome(25) ksme slip1 [entry 05-09 only  lb=3h],1,37,29.7297,11.78,1.560952,5.6673,10.5808,643.98,470.80
13,lb3h pair_mid tp125pts trail_prog slNone kems slip2 [entry 05-09 only  lb=3h],2,40,35.00,8.36,1.398095,5.5893,10.3636,630.76,655.91
14,lb3h pair_mid tp125pts trail_prog slNone kems slip3 [entry 05-09 only  lb=3h],3,40,35.00,9.00,1.428571,5.5523,10.2897,626.26,662.41
15,lb0h close tp125pts trail_none slSome(25) kems slip1 [entry 05-09 only  lb=0h],1,40,20.00,17.73,1.554062,5.5370,10.2591,624.40,461.90
16,lb0h pair_mid tp175pts trail_prog slSome(25) ksme slip3 [entry 05-09 only  lb=0h],3,35,31.4286,11.70,1.5850,5.3450,9.9768,607.22,459.06
17,lb0h pair_mid tp175pts trail_prog slSome(25) ksme slip2 [entry 05-09 only  lb=0h],2,35,31.4286,11.05,1.5525,5.3408,9.9686,606.72,445.56
18,lb0h pair_mid tp200pts trail_prog slSome(30) ksme slip2 [entry 05-09 only  lb=0h],2,36,30.5556,10.15,1.483333,5.3244,9.9154,603.48,528.80
