label,timeframe,trades,win_rate,max_dd_pct,gross_balance,net_balance,gross_pf,net_pf,total_costs
mode=reversal_daily|entry=close|rr=1|trail=none|slip=0,5m,43,39.53,666.27,911.96,-5662.79,0.65,0.00,7011.82
mode=reversal_daily|entry=close|rr=1|trail=none|slip=1,5m,43,39.53,666.35,911.94,-5663.55,0.65,0.00,7012.68
mode=reversal_daily|entry=close|rr=1|trail=none|slip=2,5m,43,39.53,666.43,911.93,-5664.34,0.65,0.00,7013.54
mode=reversal_daily|entry=close|rr=1|trail=none|slip=3,5m,43,39.53,666.51,911.92,-5665.13,0.65,0.00,7014.40
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=0,5m,43,39.53,666.27,911.96,-5662.79,0.65,0.00,7011.82
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=1,5m,43,39.53,666.35,911.94,-5663.55,0.65,0.00,7012.68
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=2,5m,43,39.53,666.43,911.93,-5664.34,0.65,0.00,7013.54
mode=reversal_daily|entry=close|rr=1|trail=be_1r|slip=3,5m,43,39.53,666.51,911.92,-5665.13,0.65,0.00,7014.40
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=0,5m,43,27.90,647.45,875.55,-5474.56,0.58,0.00,7012.79
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=1,5m,43,27.90,647.53,875.54,-5475.32,0.58,0.00,7013.65
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=2,5m,43,27.90,647.60,875.53,-5476.09,0.58,0.00,7014.51
mode=reversal_daily|entry=close|rr=1.5|trail=none|slip=3,5m,43,27.90,647.68,875.53,-5476.85,0.58,0.00,7015.37
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=0,5m,43,25.58,658.50,907.07,-5585.08,0.63,0.00,7012.70
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=1,5m,43,25.58,658.58,907.05,-5585.85,0.63,0.00,7013.56
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=2,5m,43,25.58,658.66,907.05,-5586.64,0.63,0.00,7014.42
mode=reversal_daily|entry=close|rr=1.5|trail=be_1r|slip=3,5m,43,25.58,658.74,907.04,-5587.43,0.63,0.00,7015.28
mode=reversal_daily|entry=close|rr=2|trail=none|slip=0,5m,43,23.25,645.50,874.90,-5455.08,0.60,0.00,7013.07
mode=reversal_daily|entry=close|rr=2|trail=none|slip=1,5m,43,23.25,645.58,874.89,-5455.84,0.60,0.00,7013.93
mode=reversal_daily|entry=close|rr=2|trail=none|slip=2,5m,43,23.25,645.66,874.89,-5456.61,0.60,0.00,7014.79
mode=reversal_daily|entry=close|rr=2|trail=none|slip=3,5m,43,23.25,645.73,874.88,-5457.37,0.60,0.00,7015.66
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=0,5m,43,23.25,664.34,938.67,-5643.43,0.76,0.00,7013.52
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=1,5m,43,23.25,664.42,938.66,-5644.22,0.76,0.00,7014.38
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=2,5m,43,23.25,664.50,938.66,-5645.02,0.76,0.00,7015.24
mode=reversal_daily|entry=close|rr=2|trail=be_1r|slip=3,5m,43,23.25,664.58,938.65,-5645.82,0.76,0.00,7016.10
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=0,5m,31,41.93,485.93,949.75,-3859.35,0.71,0.00,5001.77
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=1,5m,31,41.93,485.99,949.73,-3859.93,0.71,0.00,5002.39
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=2,5m,31,41.93,486.05,949.72,-3860.50,0.71,0.00,5003.01
mode=reversal_daily|entry=prev_open|rr=1|trail=none|slip=3,5m,31,41.93,486.10,949.71,-3861.08,0.71,0.00,5003.63
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=0,5m,31,41.93,485.93,949.75,-3859.35,0.71,0.00,5001.77
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=1,5m,31,41.93,485.99,949.73,-3859.93,0.71,0.00,5002.39
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=2,5m,31,41.93,486.05,949.72,-3860.50,0.71,0.00,5003.01
mode=reversal_daily|entry=prev_open|rr=1|trail=be_1r|slip=3,5m,31,41.93,486.10,949.71,-3861.08,0.71,0.00,5003.63
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=0,5m,30,40.00,483.30,997.75,-3833.09,0.98,0.00,4871.81
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=1,5m,30,40.00,483.36,997.74,-3833.66,0.98,0.00,4872.41
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=2,5m,30,40.00,483.42,997.73,-3834.23,0.98,0.00,4873.01
mode=reversal_daily|entry=prev_open|rr=1.5|trail=none|slip=3,5m,30,40.00,483.48,997.72,-3834.81,0.98,0.00,4873.61
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=0,5m,31,32.25,488.47,968.48,-3884.75,0.82,0.00,5001.77
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=1,5m,31,32.25,488.53,968.47,-3885.34,0.82,0.00,5002.39
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=2,5m,31,32.25,488.59,968.46,-3885.92,0.82,0.00,5003.01
mode=reversal_daily|entry=prev_open|rr=1.5|trail=be_1r|slip=3,5m,31,32.25,488.65,968.45,-3886.51,0.82,0.00,5003.63
